2024-11-13 01:04:41,581 - INFO - Files loaded successfully.
2024-11-13 01:04:41,582 - INFO - NaN values in 'purchase_df' handled by filling empty strings.
2024-11-13 01:04:41,583 - INFO - NaN values in 'sales_df' handled by filling empty strings.
2024-11-13 01:04:41,585 - INFO - Date columns converted to datetime.
2024-11-13 01:04:41,880 - INFO - Vectorization completed successfully.
2024-11-13 01:04:44,588 - INFO - Number of high-quality matches found: 0
2024-11-13 01:04:44,629 - INFO - Matches exported successfully to 'dejuna_high_quality_matches.xlsx'
2024-11-13 01:05:03,428 - INFO - Files loaded successfully.
2024-11-13 01:05:03,429 - INFO - NaN values in 'purchase_df' handled by filling empty strings.
2024-11-13 01:05:03,430 - INFO - NaN values in 'sales_df' handled by filling empty strings.
2024-11-13 01:05:03,433 - INFO - Date columns converted to datetime.
2024-11-13 01:05:03,725 - INFO - Vectorization completed successfully.
2024-11-13 01:05:04,212 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-24 00:00:00
2024-11-13 01:05:04,212 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-24 00:00:00
2024-11-13 01:05:04,212 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-24 00:00:00
2024-11-13 01:05:04,212 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-24 00:00:00
2024-11-13 01:05:04,212 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-23 00:00:00
2024-11-13 01:05:04,212 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-23 00:00:00
2024-11-13 01:05:04,213 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-19 00:00:00
2024-11-13 01:05:04,213 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-18 00:00:00
2024-11-13 01:05:04,213 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-18 00:00:00
2024-11-13 01:05:04,213 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-17 00:00:00
2024-11-13 01:05:04,214 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-17 00:00:00
2024-11-13 01:05:04,214 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-17 00:00:00
2024-11-13 01:05:04,214 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-17 00:00:00
2024-11-13 01:05:04,214 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-13 00:00:00
2024-11-13 01:05:04,215 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-12 00:00:00
2024-11-13 01:05:04,215 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-10 00:00:00
2024-11-13 01:05:04,215 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-10 00:00:00
2024-11-13 01:05:04,215 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-09 00:00:00
2024-11-13 01:05:04,215 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-09 00:00:00
2024-11-13 01:05:04,215 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-09 00:00:00
2024-11-13 01:05:04,215 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-09 00:00:00
2024-11-13 01:05:04,215 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-09 00:00:00
2024-11-13 01:05:04,217 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-03 00:00:00
2024-11-13 01:05:04,217 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-03 00:00:00
2024-11-13 01:05:04,217 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-03 00:00:00
2024-11-13 01:05:04,217 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-30 00:00:00
2024-11-13 01:05:04,217 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-29 00:00:00
